pusat kegiatan,lat,long
Universitas Trunojoyo Madura,-7.125577477,112.7241498
Sekolah menengah,-7.125177598,112.7143938
Pasar,-7.165422884,112.7209922
Pelabuhan,-7.174047821,112.7220869
